[365.37] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[366.44] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[367.53] node 0: n_msg = 0; bytes = 0; sys_bytes = 72
[368.59] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[369.69] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[370.75] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[371.78] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[372.92] node 0: n_msg = 4032; bytes = 32256; sys_bytes = 716
[374.02] node 0: n_msg = 235236; bytes = 320633520; sys_bytes = 92395997
[375.10] node 0: n_msg = 168836; bytes = 397853184; sys_bytes = 98563885
[376.22] node 0: n_msg = 163726; bytes = 356971584; sys_bytes = 90549106
[377.30] node 0: n_msg = 242520; bytes = 159802176; sys_bytes = 40437974
[378.42] node 0: n_msg = 6216; bytes = 20160; sys_bytes = 4470
[379.51] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[380.57] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[381.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[382.70] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[383.82] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[384.83] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[385.94] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[387.05] node 0: n_msg = 104832; bytes = 645120; sys_bytes = 38055
[388.17] node 0: n_msg = 67536; bytes = 387072; sys_bytes = 26170
[389.25] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[390.34] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[391.38] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[392.46] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[393.56] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[394.62] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[395.71] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[396.80] node 0: n_msg = 4032; bytes = 32256; sys_bytes = 716
[397.89] node 0: n_msg = 173376; bytes = 1032192; sys_bytes = 64167
[398.90] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[400.04] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[401.08] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[402.20] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[403.30] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[404.34] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[405.43] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[406.51] node 0: n_msg = 1512; bytes = 12096; sys_bytes = 0
[407.54] node 0: n_msg = 175728; bytes = 1051008; sys_bytes = 64239
[408.60] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[409.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[410.75] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[411.78] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[412.88] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[413.88] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[415.00] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[416.08] node 0: n_msg = 672; bytes = 5376; sys_bytes = 0
[417.14] node 0: n_msg = 21168; bytes = 137088; sys_bytes = 8100
[418.16] node 0: n_msg = 151200; bytes = 887040; sys_bytes = 56076
[419.27] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[420.27] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[421.42] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[422.45] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[423.57] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[424.64] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[425.70] node 0: n_msg = 0; bytes = 0; sys_bytes = 0
[426.81] node 0: n_msg = 3864; bytes = 30912; sys_bytes = 716
[427.93] node 0: n_msg = 202272; bytes = 200177040; sys_bytes = 50244878
[429.03] node 0: n_msg = 121175; bytes = 277664928; sys_bytes = 72255894
[430.08] node 0: n_msg = 175339; bytes = 376155648; sys_bytes = 95408311
[431.20] node 0: n_msg = 169453; bytes = 362515968; sys_bytes = 94918461
